********* Start testing of TestRpgAnalyzer *********
Config: Using QtTest library 6.10.1, Qt 6.10.1 (x86_64-little_endian-lp64 shared (dynamic) release build; by GCC 15.2.1 20251111 (Red Hat 15.2.1-4)), fedora 43
PASS   : TestRpgAnalyzer::initTestCase()
QINFO  : TestRpgAnalyzer::testCoverage() Checking key: ' "se" ' length: 2
QINFO  : TestRpgAnalyzer::testCoverage() IGNORING KEY: "se"
QINFO  : TestRpgAnalyzer::testCoverage() Checking key: ' "se" ' length: 2
QINFO  : TestRpgAnalyzer::testCoverage() IGNORING KEY: "se"
QINFO  : TestRpgAnalyzer::testCoverage() Checking key: ' "se" ' length: 2
QINFO  : TestRpgAnalyzer::testCoverage() IGNORING KEY: "se"
QINFO  : TestRpgAnalyzer::testCoverage() Checking key: ' "se" ' length: 2
QINFO  : TestRpgAnalyzer::testCoverage() IGNORING KEY: "se"
QINFO  : TestRpgAnalyzer::testCoverage() Checking key: ' "se" ' length: 2
QINFO  : TestRpgAnalyzer::testCoverage() IGNORING KEY: "se"
QINFO  : TestRpgAnalyzer::testCoverage() Checking key: ' "se" ' length: 2
QINFO  : TestRpgAnalyzer::testCoverage() IGNORING KEY: "se"
QINFO  : TestRpgAnalyzer::testCoverage() Checking key: ' "se" ' length: 2
QINFO  : TestRpgAnalyzer::testCoverage() IGNORING KEY: "se"
QINFO  : TestRpgAnalyzer::testCoverage() Checking key: ' "se" ' length: 2
QINFO  : TestRpgAnalyzer::testCoverage() IGNORING KEY: "se"
QINFO  : TestRpgAnalyzer::testCoverage() Checking key: ' "se" ' length: 2
QINFO  : TestRpgAnalyzer::testCoverage() IGNORING KEY: "se"
QINFO  : TestRpgAnalyzer::testCoverage() Checking key: ' "se" ' length: 2
QINFO  : TestRpgAnalyzer::testCoverage() IGNORING KEY: "se"
QINFO  : TestRpgAnalyzer::testCoverage() Checking key: ' "se" ' length: 2
QINFO  : TestRpgAnalyzer::testCoverage() IGNORING KEY: "se"
QINFO  : TestRpgAnalyzer::testCoverage() Checking key: ' "se" ' length: 2
QINFO  : TestRpgAnalyzer::testCoverage() IGNORING KEY: "se"
QINFO  : TestRpgAnalyzer::testCoverage() Checking key: ' "se" ' length: 2
QINFO  : TestRpgAnalyzer::testCoverage() IGNORING KEY: "se"
